Date;GPR_RUSSIA;GPR_INDIA;GPR_BRAZIL;GPR_CHINA;GPR_SAUDI_ARABIA;GPR_VENEZUELA
jan/00;"111,1378398";"119,414323";"84,88107688";"103,7854301";"67,28691133";"90,33375379"
fev/00;"104,8189999";"88,4550541";"67,45995555";"119,4049195";"71,36569321";"68,89426326"
mar/00;"110,7685701";"136,8206417";"70,92543704";"142,6361668";"64,82138907";"80,53051514"
abr/00;"93,36023644";"86,50048275";"102,7304912";"121,0408303";"52,21879991";"94,9841711"
mai/00;"99,32714428";"124,7216263";"77,17641005";"98,18088897";"64,40318656";"66,66041896"
jun/00;"102,2309064";"85,17213196";"79,63938132";"95,92661481";"37,27036259";"52,44722184"
jul/00;"93,3383403";"87,64999082";"52,70099215";"102,3039741";"52,92183854";"80,01250588"
ago/00;"118,0917213";"101,8765759";"78,36087725";"92,19707349";"61,39152676";"78,07374132"
set/00;"69,08164761";"97,43877053";"57,63770309";"83,58018245";"71,47370346";"80,2457785"
out/00;"120,5378302";"100,2820318";"76,38744907";"108,7863307";"134,048493";"72,50175342"
nov/00;"80,7749794";"80,81452315";"95,78239187";"90,65101187";"77,16510832";"81,91756555"
dez/00;"106,7955764";"96,86430159";"77,65219396";"104,8141176";"90,11145445";"91,97969426"
jan/01;"90,48246571";"83,86660749";"87,59834749";"116,7411308";"53,23650502";"86,01344383"
fev/01;"118,252202";"92,05026472";"101,2354529";"108,8819839";"104,6836248";"59,50615611"
mar/01;"97,36193153";"77,80139835";"76,91264925";"110,8660241";"88,05123162";"45,64959309"
abr/01;"108,8035856";"90,85681385";"96,54500717";"184,436789";"66,05455032";"93,05548016"
mai/01;"94,82114543";"79,32393061";"82,5084612";"117,1233146";"55,46685924";"67,90535039"
jun/01;"102,1365025";"89,08687592";"84,76811392";"108,9433468";"69,26380441";"89,43875796"
jul/01;"98,64408981";"90,6747283";"81,84046975";"108,3133467";"60,27036175";"60,26419631"
ago/01;"87,19358488";"71,00488625";"90,7346326";"101,1229892";"69,71478957";"46,37979814"
